abatacepte;BRISTOL-MEYERS SQUIBB FARMACÊUTICA LTDA;ORENCIA;250 MG PO LIOF INJ CT FA + SER DESC;0;SIM
abciximabe;ELI LILLY DO BRASIL LTDA;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML;0;SIM
acarbose;EMS SIGMA PHARMA LTDA;AGLUCOSE;100 MG COM CT 3 BL AL PVDC LEIT X 10;37,32;NÃO
acarbose;EMS SIGMA PHARMA LTDA;AGLUCOSE;50 MG COM CT 3 BL AL PVDC LEIT X 10;24,59;NÃO
acarbose;BAYER S.A;GLUCOBAY;100 MG COM CT BL AL X 30;58,26;NÃO
acarbose;BAYER S.A;GLUCOBAY;50 MG COM CT BL AL X 30;39,06;NÃO
acebrofilina;EMS SIGMA PHARMA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ;14,5;NÃO
acebrofilina;EMS SIGMA PHARMA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ;18,61;NÃO
acebrofilina;EMS SIGMA PHARMA LTDA;EXPECDILAT;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;13,43;NÃO
acebrofilina;EMS SIGMA PHARMA LTDA;EXPECDILAT;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;12,38;NÃO
acebrofilina;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;19,13;NÃO
acebrofilina;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;13,76;NÃO
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA ;10MG/ML XPE CT FR VD AMB X 120ML + CP MED;21,3;NÃO
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA ;5MG/ML XPE CT FR VD AMB X 120ML + CP MED;14,39;NÃO
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA ;5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP);0;SIM
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA ;5 MG/ML XPE CT FR PEAD X 120 ML + CP MED;14,39;NÃO
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA ;10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP);0;SIM
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA ;10 MG/ML XPE CT FR PEAD X 120 ML + CP MED;21,3;NÃO
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;BRONTEK;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;18,85;NÃO
acebrofilina;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;BRONTEK;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;26,26;NÃO
acebrofilina;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;BRONCOLEX;5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML;14,29;NÃO
acebrofilina;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;BRONCOLEX;10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML;19,44;NÃO
